epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,116140,0.72413,0.40931,1.0477,0.85224,0.86185,0.90343,0.68429,0.74615,4.02439,0.98508,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,117343,0.69594,0.40193,1.03386,0.86344,0.85539,0.89504,0.67695,0.74272,3.87445,0.98466,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,118720,0.69681,0.39399,1.04837,0.89327,0.83992,0.90169,0.68554,0.74235,3.65076,0.98217,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,120442,0.68975,0.38761,1.02935,0.87455,0.83026,0.88092,0.66873,0.73926,4.05211,0.9844,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
45,121488,0.6818,0.37403,1.02837,0.86917,0.84768,0.89546,0.67987,0.74035,3.79337,0.98646,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
46,122551,0.67925,0.36954,1.02411,0.88906,0.84907,0.8965,0.68322,0.74267,3.22111,0.98367,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
47,123592,0.67609,0.36947,1.02053,0.88762,0.84767,0.90263,0.68587,0.7386,3.36457,0.98186,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
48,124655,0.67361,0.36512,1.02262,0.87954,0.84954,0.89407,0.67949,0.73709,3.64459,0.98219,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
49,125780,0.66771,0.3578,1.01739,0.8671,0.85485,0.89374,0.68118,0.73731,3.90575,0.98159,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
50,126963,0.66346,0.35742,1.0175,0.86952,0.85512,0.89538,0.68129,0.74008,3.61797,0.98312,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
